CNN-INTEGRATED SPECK COMPREHENSIVE SECURITY REPORT
------------------------------------------------------------------------------------------------------------------------
Image           | Enc_T(s) | Dec_T(s) | Entp   | NPCR%  | UACI%  | PSNR   | Corr_H | Corr_V | Corr_D
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2560_2048_size512.png | 0.0896   | 0.0800   | 7.6319 | 99.83  | 26.39  | 9.81   | -0.019 | 0.047  | 0.021 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2560_2560_size512.png | 0.0921   | 0.0935   | 7.6394 | 99.81  | 26.17  | 9.93   | -0.030 | -0.012 | 0.018 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2560_3072_size512.png | 0.0894   | 0.0805   | 7.6378 | 99.81  | 26.40  | 9.79   | -0.006 | 0.013  | 0.027 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2560_3584_size512.png | 0.0891   | 0.0801   | 7.6351 | 99.83  | 26.03  | 9.97   | 0.004  | -0.015 | 0.013 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2560_4096_size512.png | 0.0890   | 0.0796   | 7.6375 | 99.81  | 26.15  | 9.91   | -0.006 | 0.027  | 0.008 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2560_512_size512.png | 0.0877   | 0.0839   | 7.6045 | 99.83  | 29.88  | 8.51   | -0.047 | 0.002  | 0.028 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_512_0_size512.png | 0.0942   | 0.0937   | 7.6136 | 99.81  | 29.43  | 8.69   | -0.031 | 0.003  | -0.007
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_512_1024_size512.png | 0.0948   | 0.0887   | 7.6246 | 99.81  | 28.10  | 9.14   | -0.043 | -0.023 | 0.038 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_512_1536_size512.png | 0.0853   | 0.0762   | 7.6360 | 99.85  | 26.17  | 9.87   | -0.018 | 0.006  | 0.037 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_512_2048_size512.png | 0.0909   | 0.0818   | 7.6408 | 99.81  | 26.42  | 9.81   | -0.014 | -0.031 | -0.013
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_512_2560_size512.png | 0.0878   | 0.0786   | 7.6391 | 99.84  | 26.23  | 9.86   | -0.031 | 0.026  | 0.002 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_512_3072_size512.png | 0.0886   | 0.0858   | 7.6361 | 99.83  | 26.65  | 9.70   | -0.032 | 0.044  | 0.024 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_512_3584_size512.png | 0.0863   | 0.0770   | 7.6415 | 99.85  | 25.74  | 10.08  | 0.026  | -0.009 | 0.010 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_512_4096_size512.png | 0.0952   | 0.0964   | 7.6382 | 99.80  | 26.58  | 9.75   | -0.008 | -0.007 | 0.010 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_512_512_size512.png | 0.0887   | 0.0812   | 7.6097 | 99.82  | 28.75  | 8.87   | -0.065 | 0.008  | -0.002
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_0_0_size512.png | 0.0855   | 0.0762   | 7.6489 | 99.85  | 27.77  | 9.20   | -0.015 | -0.025 | 0.026 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_0_1024_size512.png | 0.0867   | 0.0822   | 7.6558 | 99.84  | 27.75  | 9.22   | -0.024 | 0.003  | -0.021
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_0_1536_size512.png | 0.0871   | 0.0775   | 7.6495 | 99.84  | 27.97  | 9.14   | -0.067 | 0.043  | -0.003
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_0_2048_size512.png | 0.0931   | 0.0837   | 7.6397 | 99.81  | 29.27  | 8.72   | -0.050 | 0.017  | 0.010 
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_0_2560_size512.png | 0.0928   | 0.0828   | 7.6478 | 99.81  | 29.08  | 8.78   | -0.034 | 0.013  | -0.019
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0_0_3072_size512.png | 0.0950   | 0.0925   | 7.6389 | 99.79  | 29.08  | 8.79   | -0.047 | 0.015  | 0.036 
